06/10/15 12:06:34:889 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Build Version - 2.8.0.447
06/10/15 12:06:34:889 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:34:890 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Creating PIM instance for path: /Applications/Utilities/Adobe Application Manager/
06/10/15 12:06:34:951 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | trying to createOrUpdatePIMDbSchema.
06/10/15 12:06:35:217 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Current db schema version on machine 2.
06/10/15 12:06:35:217 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Current db schema version to install 2.
06/10/15 12:06:35:217 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | PIM DB Schema is up to date. Current schema version is 2.
06/10/15 12:06:35:218 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | PIM Database is Up To Date.
06/10/15 12:06:35:318 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | PIMSqlite closeDB status 0 
06/10/15 12:06:35:318 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | sqlite(pim.db) at path /Applications/Utilities/Adobe Application Manager is already closed
06/10/15 12:06:35:318 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | FREE PIM Instance ...
06/10/15 12:06:35:342 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Build Version - 2.8.0.447
06/10/15 12:06:35:342 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:35:342 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Creating PIM instance for path: /Applications/Utilities/Adobe Creative Cloud
06/10/15 12:06:35:348 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | trying to createOrUpdatePIMDbSchema.
06/10/15 12:06:35:380 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Current db schema version on machine 2.
06/10/15 12:06:35:380 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | Current db schema version to install 2.
06/10/15 12:06:35:380 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | PIM DB Schema is up to date. Current schema version is 2.
06/10/15 12:06:35:380 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | PIM Database is Up To Date.
06/10/15 12:06:35:421 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | PIMSqlite closeDB status 0 
06/10/15 12:06:35:421 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | sqlite(pim.db) at path /Applications/Utilities/Adobe Creative Cloud is already closed
06/10/15 12:06:35:421 | [INFO] |  | ASU | PIM | PIM |  |  | 1852 | FREE PIM Instance ...
06/10/15 12:06:40:907 | [INFO] |  | ASU | LWANative | LWANative |  |  | 1852 | Build Version - 8.0.0.156
06/10/15 12:06:40:908 | [INFO] |  | ASU | LWANative | LWANative |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:42:992 | [INFO] |  | ASU | LWANative | P7Native |  |  | 1852 | Start : pwa_openSession
06/10/15 12:06:42:992 | [INFO] |  | ASU | LWANative | P7Native |  |  | 1852 | pwa_openSession Session key : 76460A17-BFB0-4A51-9F09-CC1DF0E6EE7A
06/10/15 12:06:43:038 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Build Version - 8.0.0.143
06/10/15 12:06:43:039 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:43:050 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:050 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getValueForKey
06/10/15 12:06:43:050 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Released OPM refrence successfully in opm_freeLibRef
06/10/15 12:06:43:072 | [INFO] |  | ASU | LWANative | P7Native |  |  | 1852 | End : pwa_openSession
06/10/15 12:06:43:076 | [INFO] |  | ASU | LWANative | P7Native |  |  | 1852 | Start : pwa_getDeviceID
06/10/15 12:06:43:076 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Build Version - 8.0.0.156
06/10/15 12:06:43:076 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:43:084 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Schema version and schema compatibility version are same or greater than current

06/10/15 12:06:43:087 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:087 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getValueForKey
06/10/15 12:06:43:087 | [WARN] |  | ASU | OPM | OPMWrapper |  |  | 1852 | Failed in getting value for key in OPMGetValueForKey
06/10/15 12:06:43:087 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | OOBELibSessionForDeviceID : DeviceId not present in local db generating it from scratch in pwa_getDeviceID
06/10/15 12:06:43:087 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | Start : generateDeviceID
06/10/15 12:06:43:096 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | End : generateDeviceID
06/10/15 12:06:43:096 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | End : pwa_getDeviceID
06/10/15 12:06:43:096 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Released OPM refrence successfully in opm_freeLibRef
06/10/15 12:06:43:099 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | Start : pwa_closeSession
06/10/15 12:06:43:135 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | End : pwa_closeSession
