 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 7.52 sec)
0.005	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.012	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.012	                       -	                   -	Blocking app contact
0.024	                       -	                   -	Successfully read encryption key from keychain in 0.018927 seconds
0.106	                       -	                   -	server_show_windows_for_asns start
0.106	                       -	                   -	Allowing apps to contact us
0.145	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (no) and/or unhidden (yes)
0.146	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal, Finder
0.146	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.146	        com.apple.Safari	           Launching	
0.249	      com.apple.Terminal	           Launching	
0.441	                       -	                   -	Finder not yet launched, but pretending it is
0.441	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.442	                       -	                   -	loginwindow launched apps com.apple.Safari, com.apple.Terminal
0.535	                       -	                   -	Bitmaps Ready (2 apps, 2 windows)
0.536	        com.apple.Safari	                   -	Disposing because it has no windows
0.542	        com.apple.Safari	            Disposed	
0.542	        com.apple.finder	                   -	Disposing because it has no windows
0.542	        com.apple.finder	            Disposed	
0.542	                       -	                   -	server_show_windows_for_asns end
0.564	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
0.564	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal, Finder
0.567	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
0.567	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal, Finder
0.903	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
0.903	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal, Finder
1.014	                       -	                   -	Refusing connection from pid 184 (app was (null))
1.284	        com.apple.finder	                   -	Finder checked in
1.284	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
1.284	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal
1.387	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
1.387	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal
2.582	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
2.582	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal
2.866	      com.apple.Terminal	           Connected	
2.866	                       -	                   -	Acquired designated connection from pid 180 (app is <TCApplication: 0x7fd390d24860 (com.apple.Terminal)>)
2.959	                       -	                   -	Refusing connection from pid 178 (app was (null))
2.997	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
2.997	                       -	                   -	Still waiting for registration from com.apple.Safari, com.apple.Terminal
3.012	                       -	                   -	Liveness: 3 -> 2 (__create_xpc_listener_block_invoke)
3.340	      com.apple.Terminal	   Requested windows	2 windows.
3.342	      com.apple.Terminal	 Transferred windows	
3.486	      com.apple.Terminal	                   -	Registered as TAL ready
3.487	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
3.487	                       -	                   -	Still waiting for registration from com.apple.Safari
3.493	      com.apple.Terminal	                   -	Reported finished launching.
3.509	                       -	                   -	Refusing connection from pid 178 (app was (null))
3.724	                       -	                   -	TAL launch still in progress because com.apple.Safari is unstopped (yes) and/or unhidden (yes)
3.724	                       -	                   -	Still waiting for registration from com.apple.Safari
4.221	        com.apple.Safari	                   -	Registered as TAL ready
4.221	                       -	                   -	All started apps have registered (no remaining unregistered apps)
4.222	                       -	                   -	TAL Relaunch - all apps registered as ready
2.451	      com.apple.Terminal	       Ready to Draw	
2.709	      com.apple.Terminal	            Disposed	
4.709	                       -	                   -	Liveness: 2 -> 1 (__remove_app_block_invoke)
5.475	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
5.475	                       -	                   -	Exiting out of boredom
